GeneName DrugID
HNRNPA1 PPIL3
HNRNPA1 WBP11
HNRNPA1 SF1
HNRNPA1 SRSF5
HNRNPA1 PPIE
HNRNPA1 HNRNPUL1
HNRNPA1 PPWD1
HNRNPA1 LSM8
HNRNPA1 TFIP11
HNRNPA1 PAPOLA
HNRNPA1 PRPF31
HNRNPA1 LSM6
NXF1 RANBP2
DDX42 HNRNPA1
GPKOW HNRNPA1
HSPA4 RANBP2
CKAP5 MCM6
CKAP5 RANBP2
HSPA12B RANBP2
CSTF3 HNRNPA1
FUBP1 KHDRBS1
FUBP1 PKM
NUDC RANBP2
CIRBP KHDRBS1
HNRNPA0 HNRNPA1
NEK9 RANBP2
DDX46 HNRNPA1
KHDRBS1 SRRT
KHDRBS1 TARDBP
KHDRBS1 RBM15
KHDRBS1 WBP11
KHDRBS1 RASA1
DDX39B KHDRBS1
DDX39B HNRNPA1
DDX39B RANBP2
DDX39B RAN
HSPA13 RANBP2
MRI1 MTAP
GMPPA GOLPH3
SMS UBA6
SMS TP53RK
SMS SRM
HDLBP SMS
GOLPH3 PFDN5
GOLPH3 VBP1
GOLPH3 SRM
MTAP RBM12
MTAP SNX12
MTAP PPIL3
MTAP SRM
MTAP SMS
ENOPH1 SMS
ENOPH1 PGM3
SHMT1 SHMT2
PFAS RAVER1
PFAS PPAT
SDSL SHMT2
SDSL SHMT1
ADSL PAICS
ADSL GART
ADSL ATIC
ADSL PPAT
ADSS IMPDH2
ADSS ATIC
HPRT1 IMPDH2
CTPS2 GRWD1
CTPS2 GMPS
CARS GMPS
APRT GMPS
APRT ATIC
BCAT1 SDSL
FARSB GMPS
CTPS1 IMPDH2
CTPS1 GRWD1
CTPS1 GMPS
GART PAICS
GART MTHFD2
GART MTHFD1L
GART MTHFD1
GART GMPS
GART PFAS
GART SHMT2
GART SHMT1
GART RAVER1
GART PPAT
EIF4H RAVER1
ENTPD1 IMPDH2
ENTPD1 GMPS
ENTPD1 PKM
IMPDH1 IMPDH2
AMPD2 IMPDH2
AMPD2 ATIC
GLO1 SDSL
IMPDH2 PCID2
IMPDH2 NT5E
IMPDH2 SNX6
IMPDH2 TPMT
IMPDH2 NT5C2
MTHFD1 MTHFD2
MTHFD1 MTHFD1L
MTHFD1 PC
MTHFD1 PRKCDBP
MTHFD1 SHMT2
MTHFD1 SHMT1
CANT1 IMPDH2
CANT1 GMPS
CANT1 PKM
PAICS PFAS
PAICS SHMT2
PAICS SHMT1
PAICS PPAT
ATIC PAICS
ATIC MTHFD2
ATIC MTHFD1L
ATIC MTHFD1
ATIC IMPDH2
ATIC GART
ATIC PFAS
ATIC HPRT1
ATIC ENTPD1
ATIC NT5C3A
ATIC NT5C2
ATIC GMPR2
ATIC NT5E
ATIC IMPDH1
ATIC CANT1
ATIC SHMT2
ATIC SHMT1
ATIC PPAT
GMPR2 IMPDH2
GMPR2 GMPS
MTHFD1L MTHFD2
MTHFD1L SHMT2
MTHFD1L SHMT1
EIF4B GMPS
EIF4B RRP12
GAA MTHFD1
GMPS PAICS
GMPS NOP2
GMPS MCM6
GMPS IPO4
GMPS IMPDH2
GMPS GRWD1
GMPS RPF2
GMPS IMPDH1
GMPS NT5C2
GMPS NOC4L
GMPS NT5C3A
GMPS TPMT
GMPS PWP1
GMPS WDR12
GMPS PFAS
GMPS NMD3
GMPS HEATR1
GMPS PDCD11
GMPS NAT10
GMPS HPRT1
GMPS NT5E
GMPS POLR1A
GMPS WDR3
GMPS VARS
GMPS NARS
GMPS RRP12
GMPS RFC4
MTHFD2 SHMT2
MTHFD2 SHMT1
ADPRHL2 PCID2
PCID2 UBE4B
PCID2 SNX6
ACACA MCAT
ACACA FASN
ACACA COPB1
ACACA ACAT2
ACACA ACSS2
ACACA PSMD2
ACACA PRKAG1
FASN MCAT
AASDHPPT FASN
AASDHPPT COASY
PSMD2 RAN
ERAL1 MCAT
RAN XPOT
RAN RANBP1
RAN RCC1
RAN XPO1
RAN TNPO3
RAN YWHAG
RAN XPO5
RAN YWHAZ
RAN YWHAQ
RAN SFN
RAN RANBP2
EIF5A RAN
KAT8 KPNA2
CSE1L KPNA2
CSE1L TXNDC5
CSE1L UBR1
CSE1L KPNA6
CSE1L TWF1
CSE1L RFC4
RANBP1 RANBP2
DIS3 RAN
KPNA6 RANBP3
NCBP1 RANBP2
NCBP1 RAN
RANBP3 RCC1
PSMA4 RAN
NUTF2 RANBP2
NUTF2 RAN
NUTF2 PGAM1
KPNA2 MOV10
KPNA2 NCBP1
KPNA2 RCC1
KPNA2 RANBP1
KPNA2 NUTF2
KPNA2 RAD50
KPNA2 TOP2A
KPNA2 RANBP3
KPNA2 RANBP2
KPNA2 RAN
KPNA2 PTPN2
KPNA2 PCNA
HDAC6 RANBP2
HDAC6 RAN
EEF1A1 RAN
CTSL RUNX1
GPAM RUNX1
GEMIN5 WDR77
GEMIN5 RANBP2
GEMIN5 PRMT5
RUNX1 TJP1
RUNX1 SMARCC1
RUNX1 SMARCA4
CLDN5 RUNX1
PRMT1 WDR77
PRMT1 RUNX1
PRMT1 PRMT5
ITGA5 TEK
IRF3 SMARCC1
IRF3 SMARCA4
IRF3 PTPN11
PELO SMARCA4
HIST1H2AC MOV10
