Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C0JKX6,1,0,7.0,,0.0
C0JS3R,1,3,5.0,2.4028701968429527,1.0
C0JUR8,1,0,4.0,,0.0
C0K9LY,1,6,4.0,0.4362211270817601,0.7498
C0KC6J,1,3,6.0,1.4085168035098468,0.9302
C0KM7P,1,8,3.0,-1.4182033850404425,0.2486
C0KN6P,2,6,1.0,-1.5104395474943506,0.1684
C0KPF8,1,3,3.0,-1.8692486272892415,0.163
C0KPN4,1,7,4.0,1.562731728323025,1.0
C0KW3V,3,2,6.0,4.429044427916333,1.0
C0KX7H,2,3,3.5,-0.29395814953208493,0.4056
C0KY3B,2,0,7.5,,0.0
C0L7UV,2,6,3.0,0.4716748027938783,0.7458
C0L7WE,1,3,5.0,,0.0
C0L9DI,1,0,4.0,,0.0
C0LGN6,1,8,3.0,-0.8933459188170043,0.2486
C0LTV1,1,6,4.0,0.6315222957062698,0.8314
C0LW4G,2,3,4.0,0.43790308576191816,0.9128
C0M4DW,1,6,2.0,-1.1777649401647452,0.1684
C0M7FC,2,3,5.0,1.5935502526752323,1.0
C0MC8O,1,7,5.0,1.4287522354730249,1.0
C0MD7S,1,3,5.0,1.3895439382722716,1.0
C0MG7X,1,2,6.0,2.4929234149477746,1.0
C0MHV8,1,0,8.0,,0.0
C0MNQ9,2,6,3.0,0.4716748027938783,0.7458
C0MW6H,1,3,4.0,-1.0628920818611052,0.4068
C0N3SX,2,0,4.0,,0.0
C0N8HB,1,6,2.0,-0.49892218025118684,0.4666
C0NA7R,1,8,3.0,-1.4182033850404425,0.2486
C0NBT5,2,6,1.0,-1.5104395474943506,0.1684
C0NJ9Y,1,3,5.0,0.6730926896018165,0.852
C0NO6B,1,3,5.0,1.4146379325438996,1.0
C0NRG1,1,7,4.0,1.562731728323025,1.0
C0NT3J,1,3,5.0,1.3895439382722716,1.0
C0NUH8,1,2,7.0,3.7664939316170885,1.0
C0NV9Y,1,0,8.0,,0.0
C0NVB7,3,6,3.3333333333333335,0.3687031661121342,0.6464
C0O2HZ,1,6,2.0,-0.8426193842803549,0.3412
C0O2PW,1,3,3.0,-0.924758047477855,0.3258
C0O2VG,1,6,2.0,-1.1777649401647452,0.1684
C0O3BJ,1,8,3.0,-1.4182033850404425,0.2486
C0O3EP,1,0,5.0,,0.0
C0O4QY,1,3,4.0,-0.019107596817660697,0.6588
C0O4XE,1,7,4.0,1.6246825068184256,1.0
C0O6SY,1,3,5.0,2.4028701968429527,1.0
C0O6XT,2,3,5.0,1.5935502526752323,1.0
C0O8FI,1,2,5.0,5.2448805448574864,1.0
C0OW7X,1,6,3.0,-0.4186106883176689,0.522
C0OWL3,1,3,3.0,-0.924758047477855,0.3258
C0P3JF,1,0,8.0,,0.0
C0P3TI,1,3,5.0,0.6586758119055289,0.8524
C0P4CT,1,6,2.0,-0.8083857394697593,0.4144
C0P6AU,1,0,4.0,,0.0
C0PDY6,1,6,4.0,0.6286723010771527,0.8316
C0PF2H,1,8,3.0,-1.4182033850404425,0.2486
C0PFJ9,1,3,5.0,,0.0
C0PU3D,1,3,5.0,,0.0
C0PYI9,1,7,4.0,1.1698485854726073,1.0
C0PZC6,1,2,6.0,2.3230589677595566,1.0
C0Q5YG,1,3,4.0,-0.5290686732505242,0.5168
C0Q8ET,2,8,3.0,0.09741599328981401,0.739
C0Q8WF,2,3,3.5,-0.29395814953208493,0.4056
C0Q9PK,1,6,3.0,-0.5334000358261289,0.5084
C0QA8R,1,0,7.0,,0.0
C0QG4W,1,3,5.0,2.6378858758863895,1.0
C0QMZ1,1,0,4.0,,0.0
C0QV9A,1,6,3.0,-0.4186106883176689,0.522
C0QVA6,1,3,5.0,1.4146379325438996,1.0
C0QX3Y,1,6,3.0,0.5615794518684162,0.788
C0R2ZS,2,7,4.0,1.4637603360286122,1.0
C0R3EL,1,2,6.0,,0.0
C0R5BV,1,8,3.0,-1.4182033850404425,0.2486
C0R6QX,2,3,3.5,-0.29395814953208493,0.4056
C0R7YW,1,3,4.0,-0.5290686732505242,0.5168
C0RCX1,1,6,3.0,-0.5334000358261289,0.5084
C0RCX4,1,3,5.0,1.4146379325438996,1.0
C0RFN9,2,6,2.5,-0.027511910559720194,0.5046
C0RKZ2,1,3,6.0,3.397754966952034,1.0
C0RL7W,1,0,7.0,,0.0
C0RO6U,1,0,4.0,,0.0
C0RT2G,1,6,3.0,-0.360665485140628,0.585
C0S3TK,1,2,5.0,5.2448805448574864,1.0
C0SA4N,1,7,4.0,1.9930915164897591,1.0
C0SCK2,1,8,2.0,-1.0553431175074917,0.2342
C0SKD7,1,3,6.0,1.4085168035098468,0.9302
C0SL1R,1,3,3.0,-1.8692486272892415,0.163
C0STZ3,1,3,3.0,-0.8075925411543274,0.4056
C0SU3C,2,6,1.0,-1.5104395474943506,0.1684
C0SWH5,1,0,4.0,,0.0
C0SZJ1,1,6,2.0,-0.8426193842803549,0.3412
C0T1HM,1,0,7.0,,0.0
C0T2VB,1,3,6.0,3.4575907769934737,1.0
C0T5IM,2,6,3.0,0.4716748027938783,0.7458
C0T8HO,1,2,7.0,6.989978028233928,1.0
C0TC8Z,1,7,4.0,1.9930915164897591,1.0
C0TE5S,2,8,3.0,-0.3618802772155821,0.4504
C0TIU7,1,6,3.0,-0.5258653634337958,0.4974
C0TL9C,1,0,5.0,,0.0
C0TNP8,1,3,3.0,-0.924758047477855,0.3258
C0TSM8,1,3,5.0,1.4146379325438996,1.0
